Date_Time;h[m];h_nonsys_uncertainty[m];h_sys_resampling_indices;h_sys_uncertainty[m]
2022/06/05 18:33:20;0.482;0.01;0;0.01
2022/06/05 20:25:00;0.481;0.01;0;0.01
2022/06/05 23:10:00;0.483;0.01;0;0.01
2022/06/06 02:40:00;0.485;0.01;0;0.01
2022/06/06 05:41:40;0.488;0.01;0;0.01
2022/06/06 07:58:20;0.491;0.01;0;0.01
2022/06/06 09:31:40;0.493;0.01;0;0.01
2022/06/06 10:48:20;0.493;0.01;0;0.01
2022/06/06 11:45:00;0.493;0.01;0;0.01
2022/06/06 12:25:00;0.493;0.01;0;0.01
2022/06/06 12:51:40;0.492;0.01;0;0.01
2022/06/06 13:13:20;0.492;0.01;0;0.01
2022/06/06 13:30:00;0.492;0.01;0;0.01
2022/06/06 13:45:00;0.492;0.01;0;0.01
2022/06/06 14:00:00;0.491;0.01;0;0.01
2022/06/06 14:16:40;0.491;0.01;0;0.01
2022/06/06 14:36:40;0.49;0.01;0;0.01
2022/06/06 15:03:20;0.49;0.01;0;0.01
2022/06/06 15:35:00;0.489;0.01;0;0.01
2022/06/06 16:13:20;0.489;0.01;0;0.01
2022/06/06 16:51:40;0.488;0.01;0;0.01
2022/06/06 17:38:20;0.487;0.01;0;0.01
2022/06/06 18:31:40;0.486;0.01;0;0.01
2022/06/06 19:38:20;0.485;0.01;0;0.01
2022/06/06 20:40:00;0.484;0.01;0;0.01
2022/06/06 21:40:00;0.483;0.01;0;0.01
2022/06/06 23:00:00;0.482;0.01;0;0.01
2022/06/07 01:06:40;0.482;0.01;0;0.01
2022/06/07 03:51:40;0.482;0.01;0;0.01
2022/06/07 06:23:20;0.482;0.01;0;0.01
2022/06/07 08:08:20;0.483;0.01;0;0.01
2022/06/07 09:15:00;0.483;0.01;0;0.01
2022/06/07 10:16:40;0.483;0.01;0;0.01
2022/06/07 11:40:00;0.483;0.01;0;0.01
2022/06/07 13:06:40;0.483;0.01;0;0.01
2022/06/07 14:21:40;0.482;0.01;0;0.01
2022/06/07 15:21:40;0.482;0.01;0;0.01
2022/06/07 16:23:20;0.481;0.01;0;0.01
2022/06/07 17:40:00;0.48;0.01;0;0.01
2022/06/07 18:48:20;0.48;0.01;0;0.01
2022/06/07 19:41:40;0.479;0.01;0;0.01
2022/06/07 20:10:00;0.478;0.01;0;0.01
2022/06/07 20:30:00;0.478;0.01;0;0.01
2022/06/07 20:45:00;0.478;0.01;0;0.01
2022/06/07 21:18:20;0.478;0.01;0;0.01
2022/06/07 22:30:00;0.477;0.01;0;0.01
2022/06/08 00:50:00;0.476;0.01;0;0.01
2022/06/08 03:45:00;0.475;0.01;0;0.01
2022/06/08 06:35:00;0.475;0.01;0;0.01
2022/06/08 08:20:00;0.476;0.01;0;0.01
2022/06/08 09:18:20;0.477;0.01;0;0.01
2022/06/08 10:00:00;0.478;0.01;0;0.01
2022/06/08 11:11:40;0.48;0.01;0;0.01
2022/06/08 11:30:00;0.48;0.01;0;0.01
2022/06/08 12:46:40;0.48;0.01;0;0.01
2022/06/08 14:26:40;0.481;0.01;0;0.01
2022/06/08 15:45:00;0.481;0.01;0;0.01
2022/06/08 16:58:20;0.483;0.01;0;0.01
2022/06/08 18:13:20;0.486;0.01;0;0.01
2022/06/08 19:33:20;0.491;0.01;0;0.01
2022/06/08 20:28:20;0.497;0.01;0;0.01
2022/06/08 21:03:20;0.502;0.01;0;0.01
2022/06/08 21:26:40;0.508;0.01;0;0.01
2022/06/08 21:58:20;0.516;0.01;0;0.01
2022/06/08 22:31:40;0.526;0.01;0;0.01
2022/06/08 23:03:20;0.538;0.01;0;0.01
2022/06/08 23:26:40;0.548;0.01;0;0.01
2022/06/08 23:53:20;0.558;0.01;0;0.01
2022/06/09 00:25:00;0.566;0.01;0;0.01
2022/06/09 01:05:00;0.575;0.01;0;0.01
2022/06/09 01:36:40;0.581;0.01;0;0.01
2022/06/09 02:16:40;0.586;0.01;0;0.01
2022/06/09 03:05:00;0.592;0.01;0;0.01
2022/06/09 04:10:00;0.599;0.01;0;0.01
2022/06/09 05:13:20;0.608;0.01;0;0.01
2022/06/09 06:15:00;0.618;0.01;0;0.01
2022/06/09 07:23:20;0.631;0.01;0;0.01
2022/06/09 08:36:40;0.643;0.01;0;0.01
2022/06/09 09:55:00;0.655;0.01;0;0.01
2022/06/09 11:11:40;0.662;0.01;0;0.01
2022/06/09 12:20:00;0.665;0.01;0;0.01
2022/06/09 13:23:20;0.665;0.01;0;0.01
2022/06/09 14:20:00;0.662;0.01;0;0.01
2022/06/09 15:18:20;0.658;0.01;0;0.01
2022/06/09 16:13:20;0.651;0.01;0;0.01
2022/06/09 16:55:00;0.647;0.01;0;0.01
2022/06/09 17:35:00;0.642;0.01;0;0.01
2022/06/09 18:21:40;0.636;0.01;0;0.01
2022/06/09 19:45:00;0.626;0.01;0;0.01
2022/06/09 21:31:40;0.615;0.01;0;0.01
2022/06/09 23:31:40;0.603;0.01;0;0.01
2022/06/10 01:06:40;0.595;0.01;0;0.01
2022/06/10 02:43:20;0.588;0.01;0;0.01
2022/06/10 04:26:40;0.582;0.01;0;0.01
2022/06/10 06:41:40;0.574;0.01;0;0.01
2022/06/10 08:36:40;0.568;0.01;0;0.01
2022/06/10 10:06:40;0.562;0.01;0;0.01
2022/06/10 11:05:00;0.559;0.01;0;0.01
2022/06/10 12:01:40;0.556;0.01;0;0.01
2022/06/10 12:58:20;0.552;0.01;0;0.01
2022/06/10 13:55:00;0.549;0.01;0;0.01
2022/06/10 14:50:00;0.546;0.01;0;0.01
2022/06/10 15:43:20;0.543;0.01;0;0.01
2022/06/10 16:26:40;0.541;0.01;0;0.01
2022/06/10 17:01:40;0.54;0.01;0;0.01
2022/06/10 17:30:00;0.538;0.01;0;0.01
2022/06/10 18:10:00;0.536;0.01;0;0.01
2022/06/10 18:55:00;0.535;0.01;0;0.01
2022/06/10 19:46:40;0.533;0.01;0;0.01
2022/06/10 20:28:20;0.531;0.01;0;0.01
2022/06/10 21:11:40;0.529;0.01;0;0.01
2022/06/10 22:00:00;0.527;0.01;0;0.01
2022/06/10 23:00:00;0.525;0.01;0;0.01
2022/06/10 23:58:20;0.523;0.01;0;0.01
2022/06/11 00:50:00;0.521;0.01;0;0.01
2022/06/11 01:31:40;0.52;0.01;0;0.01
2022/06/11 02:13:20;0.519;0.01;0;0.01
2022/06/11 03:06:40;0.517;0.01;0;0.01
2022/06/11 04:15:00;0.515;0.01;0;0.01
2022/06/11 05:31:40;0.512;0.01;0;0.01
2022/06/11 06:55:00;0.51;0.01;0;0.01
2022/06/11 08:45:00;0.507;0.01;0;0.01
2022/06/11 11:06:40;0.503;0.01;0;0.01
2022/06/11 13:25:00;0.5;0.01;0;0.01
2022/06/11 15:01:40;0.498;0.01;0;0.01
2022/06/11 16:01:40;0.496;0.01;0;0.01
2022/06/11 16:58:20;0.495;0.01;0;0.01
2022/06/11 18:10:00;0.493;0.01;0;0.01
2022/06/11 19:28:20;0.492;0.01;0;0.01
2022/06/11 20:33:20;0.491;0.01;0;0.01
2022/06/11 21:23:20;0.49;0.01;0;0.01
2022/06/11 22:05:00;0.489;0.01;0;0.01
2022/06/11 22:50:00;0.489;0.01;0;0.01
2022/06/12 00:21:40;0.487;0.01;0;0.01
2022/06/12 02:33:20;0.486;0.01;0;0.01
2022/06/12 05:30:00;0.483;0.01;0;0.01
2022/06/12 07:51:40;0.482;0.01;0;0.01
2022/06/12 09:30:00;0.481;0.01;0;0.01
2022/06/12 10:15:00;0.48;0.01;0;0.01
2022/06/12 10:51:40;0.479;0.01;0;0.01
2022/06/12 11:30:00;0.479;0.01;0;0.01
2022/06/12 12:15:00;0.478;0.01;0;0.01
2022/06/12 13:00:00;0.478;0.01;0;0.01
2022/06/12 13:50:00;0.477;0.01;0;0.01
2022/06/12 14:46:40;0.476;0.01;0;0.01
2022/06/12 15:51:40;0.475;0.01;0;0.01
2022/06/12 17:23:20;0.475;0.01;0;0.01
2022/06/12 19:20:00;0.473;0.01;0;0.01
2022/06/12 21:28:20;0.472;0.01;0;0.01
2022/06/12 23:11:40;0.471;0.01;0;0.01
2022/06/13 00:50:00;0.47;0.01;0;0.01
2022/06/13 02:43:20;0.469;0.01;0;0.01
2022/06/13 05:06:40;0.468;0.01;0;0.01
2022/06/13 07:20:00;0.468;0.01;0;0.01
2022/06/13 10:01:40;0.467;0.01;0;0.01
2022/06/13 13:13:20;0.467;0.01;0;0.01
2022/06/13 17:28:20;0.465;0.01;0;0.01
2022/06/13 21:15:00;0.464;0.01;0;0.01
2022/06/14 00:43:20;0.462;0.01;0;0.01
2022/06/14 04:16:40;0.461;0.01;0;0.01
2022/06/14 08:30:00;0.46;0.01;0;0.01
2022/06/14 12:55:00;0.459;0.01;0;0.01
2022/06/14 16:35:00;0.458;0.01;0;0.01
2022/06/14 19:58:20;0.457;0.01;0;0.01
2022/06/14 23:06:40;0.457;0.01;0;0.01
2022/06/15 01:58:20;0.456;0.01;0;0.01
2022/06/15 04:06:40;0.456;0.01;0;0.01
2022/06/15 05:45:00;0.455;0.01;0;0.01
2022/06/15 07:28:20;0.455;0.01;0;0.01
2022/06/15 09:50:00;0.454;0.01;0;0.01
2022/06/15 12:45:00;0.454;0.01;0;0.01
2022/06/15 15:48:20;0.453;0.01;0;0.01
2022/06/15 18:18:20;0.453;0.01;0;0.01
2022/06/15 20:33:20;0.452;0.01;0;0.01
2022/06/15 22:56:40;0.452;0.01;0;0.01
2022/06/16 01:30:00;0.452;0.01;0;0.01
2022/06/16 03:53:20;0.452;0.01;0;0.01
2022/06/16 05:33:20;0.451;0.01;0;0.01
2022/06/16 06:58:20;0.451;0.01;0;0.01
2022/06/16 08:43:20;0.45;0.01;0;0.01
2022/06/16 11:21:40;0.449;0.01;0;0.01
2022/06/16 14:40:00;0.448;0.01;0;0.01
2022/06/16 18:10:00;0.447;0.01;0;0.01
2022/06/16 21:38:20;0.446;0.01;0;0.01
2022/06/17 00:53:20;0.445;0.01;0;0.01
2022/06/17 04:03:20;0.444;0.01;0;0.01
2022/06/17 07:01:40;0.443;0.01;0;0.01
2022/06/17 10:21:40;0.442;0.01;0;0.01
2022/06/17 13:13:20;0.441;0.01;0;0.01
2022/06/17 15:53:20;0.44;0.01;0;0.01
2022/06/17 18:43:20;0.44;0.01;0;0.01
2022/06/17 22:35:00;0.439;0.01;0;0.01
2022/06/18 03:41:40;0.439;0.01;0;0.01
2022/06/18 08:16:40;0.438;0.01;0;0.01
2022/06/18 12:15:00;0.438;0.01;0;0.01
2022/06/18 14:58:20;0.437;0.01;0;0.01
2022/06/18 17:53:20;0.436;0.01;0;0.01
2022/06/18 21:15:00;0.435;0.01;0;0.01
2022/06/19 01:03:20;0.435;0.01;0;0.01
2022/06/19 04:31:40;0.435;0.01;0;0.01
2022/06/19 07:15:00;0.435;0.01;0;0.01
2022/06/19 09:36:40;0.435;0.01;0;0.01
2022/06/19 11:53:20;0.435;0.01;0;0.01
2022/06/19 13:51:40;0.435;0.01;0;0.01
